But in November the King announced a coalition government with Hun Sen heading the executive and Ranariddh leading the parliament.,sent_index,summary_length,R1-F1,R2-F1,R3-F1,RL-F1,RS-F1,rouge_avg
"Cambodian leader Hun Sen on Friday rejected opposition parties' demands for talks outside the country, accusing them of trying to ``internationalize'' the political crisis.",0,100,0.18182,0.04762,0.0,0.18182,0.02575,0.13708666666666666
Government and opposition parties have asked King Norodom Sihanouk to host a summit meeting after a series of post-election negotiations between the two opposition groups and Hun Sen's party to form a new government failed.,1,100,0.24561,0.03637,0.0,0.14035,0.05373,0.14077666666666666
Hun Sen said on Friday that the opposition concerns over their safety in the country was ``just an excuse for them to stay abroad.'',10,100,0.22727,0.04762,0.0,0.18182,0.03004,0.1522366666666667
Both Ranariddh and Sam Rainsy have been outside the country since parliament was ceremonially opened on Sep. 24.,11,100,0.21053,0.0,0.0,0.1579,0.02916,0.12281000000000002
Sam Rainsy and a number of opposition figures have been under court investigation for a grenade attack on Hun Sen's Phnom Penh residence on Sep. 7.,12,100,0.17021,0.04444,0.0,0.12766,0.01109,0.11410333333333333
"Hun Sen was not home at the time of the attack, which was followed by a police crackdown on demonstrators contesting Hun Sen's election victory.",13,100,0.21739,0.04545,0.0,0.17392,0.04272,0.14558666666666667
"The Sam Rainsy Party, in a statement released Friday, accused Hun Sen of being ``unwilling to make any compromise'' on negotiations to break the deadlock.",14,100,0.26667,0.04651,0.0,0.22222,0.05714,0.17846666666666666
"``A meeting outside Cambodia, as suggested by the opposition, could place all parties on more equal footing,'' said the statement.",15,100,0.15,0.0,0.0,0.15,0.01579,0.09999999999999999
``But the ruling party refuses to negotiate unless it is able to threaten its negotiating partners with arrest or worse.'',16,100,0.15,0.0,0.0,0.15,0.01579,0.09999999999999999
"Opposition leaders Prince Norodom Ranariddh and Sam Rainsy, citing Hun Sen's threats to arrest opposition figures after two alleged attempts on his life, said they could not negotiate freely in Cambodia and called for talks at Sihanouk's residence in Beijing.",2,100,0.16129,0.03333,0.0,0.09678,0.00762,0.09713333333333334
"Hun Sen, however, rejected that.",3,100,0.16,0.08695,0.0,0.16,0.00999,0.13565000000000002
"``I would like to make it clear that all meetings related to Cambodian affairs must be conducted in the Kingdom of Cambodia,'' Hun Sen told reporters after a Cabinet meeting on Friday.",4,100,0.19231,0.04,0.0,0.15385,0.02333,0.12872
``No-one should internationalize Cambodian affairs.,5,100,0.0,0.0,0.0,0.0,0.0,0.0
"It is detrimental to the sovereignty of Cambodia,'' he said.",6,100,0.06667,0.0,0.0,0.06667,0.0,0.04444666666666666
"Hun Sen's Cambodian People's Party won 64 of the 122 parliamentary seats in July's elections, short of the two-thirds majority needed to form a government on its own.",7,100,0.26923,0.04,0.0,0.15385,0.03498,0.15436
Ranariddh and Sam Rainsy have charged that Hun Sen's victory in the elections was achieved through widespread fraud.,8,100,0.30769,0.05406,0.0,0.15384,0.03324,0.17186333333333334
They have demanded a thorough investigation into their election complaints as a precondition for their cooperation in getting the national assembly moving and a new government formed.,9,100,0.21277,0.0,0.0,0.17021,0.04067,0.12766
